new_or_ren,senior_or_non_senior,Avg_Elec_Dev,surv_,Est_Ann_MMBtu,Est_Ann_Kwh,Yrs_in_Un,Ppl_in_Un,Ann_Income,Under_5,five_to_9,ten_to_19,tweenty_to_29,thirty_to_59,sixty_and_over,W_more_comf,W_same,W_less_comf,S_more_comf,S_same,S_less_comf,U_more_affor,U_same,U_less_affor,H_more_affor,H_same,H_less_affor,more_sat,same,less_sat,Affor_qual,Sat_qual,S_below_68,S_68-72,S_72-75,S_above_75,W_below_68,W_68-72,W_72-75,W_above_75,fall_window,winter_window,spring_window,summer_window,space_heater_comfort,fan_comfort,dry_pref,medium_pref,humid_pref,short_showers,medium_showers,long_showers,yes_dishwasher,no_hand-wash all,combination_wash,yes_wd,hang_dry_most_clothes_wd,not_in_unit_wd,low_wcomf,medium_wc,high_wc,low_sc,medium_sc,high_sc,low_comfort_sw_qual,Edu_on_systems,Edu_qual,never_noise_dist,sometimes_noise_dist,frequently_noise_dist,noise_elaborate_qual,HERS,PoC,CA,CV,NoB,H_type,foundat,HP_fuel,HP_HSPF,HP_SEER,WH_type,WH_fuel,WH_EF,WH_size,D_leak,V_type,V_exhaust,V_supply,V_balanced,V_air_cycler,P_heat,P_cool,C_R,S_attic,S_attic_R,AG_R-value,F_wall,S,S_edge_R,S_under_R,W_U,W_SHGC,IH_ACH,IC_ACH,IH_CFM,IC_CFM,I_method,Int_light,Ext_light,Ref,DW_EF,RO_fuel,D_fuel,D_EF,CF,est_H,est_C,est_HW,est_L/A,est_P,est_total,Avg_Elec_Un_kWh
1,1,643,12,21.8,6389,2,1,9000,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,61,2,925,7400,2,1,2,1,2,3,2,2,2.33,3,18.5,0,0,0,0,0,1,1,4,0,0,2,0,0,0,0,2,1,2,2,0,0,1,3,2,1,0.78,2,2,3.01,0,2.6,2.8,3.7,12.6,0,21.8,516
1,1,643,13,28.9,8470,21,3,30000,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,11,5,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,62,2,1235,9880,3,2,1,1,2,3,2,2,2.33,3,24.7,0,0,0,0,0,1,1,4,0,0,2,0,1,1,1,2,1,2,2,0,0,1,3,2,1,0.78,2,2,3.01,0,6.3,3.2,4.4,15,0,28.9,1669
1,1,643,14,28.9,8470,3,2,14400,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,14,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,62,2,1235,9880,3,2,1,1,2,3,2,2,2.33,3,24.7,0,0,0,0,0,1,1,4,0,0,2,0,1,1,1,2,1,2,2,0,0,1,3,2,1,0.78,2,2,3.01,0,6.3,3.2,4.4,15,0,28.9,730
1,1,643,15,25.9,7591,3,3,10728,0,0,2,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,59,2,1087,8696,3,2,1,1,2,3,2,2,2.33,3,21.74,0,0,0,0,0,1,1,0,0,0,2,0,1,1,1,2,1,2,2,0,0,1,3,2,1,0.78,2,2,3.01,0,4.5,2.7,4.4,14.3,0,25.9,632
1,1,643,16,25.8,7561,2,2,13000,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,60,2,1087,8696,3,2,2,1,2,3,2,2,2.33,3,21.74,0,0,0,0,0,1,1,4,0,0,2,0,0,0,0,2,1,2,2,0,0,1,3,2,1,0.78,2,2,3.01,0,3.6,3.4,4.4,14.3,0,25.8,643
1,1,643,17,23.9,7004,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,13,8,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,63,2,910,7280,2,2,1,1,2,3,2,2,2.33,3,18.5,0,0,0,0,0,1,1,4,0,0,2,0,1,1,1,2,1,2,2,0,0,1,3,2,1,0.78,2,2,3.01,0,4.9,2.7,3.7,12.6,0,23.9,813
1,1,643,18,23.9,7004,2.5,1,985,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,2,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,7,1,0,0,0,63,2,910,7280,2,2,1,1,2,3,2,2,2.33,3,18.2,0,0,0,0,0,1,1,4,0,0,2,0,1,1,1,2,1,2,2,0,0,1,3,2,1,0.78,2,2,3.01,0,4.9,2.7,3.7,12.6,0,23.9,1089
1,1,643,19,25.8,7561,1,2,18000,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,5,4,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,60,2,1087,8696,3,2,2,1,2,3,2,2,2.33,3,21.74,0,0,0,0,0,1,1,4,0,0,2,0,0,0,0,2,1,2,2,0,0,1,3,2,1,0.78,2,2,3.01,0,3.6,3.4,4.4,14.3,0,25.8,474
1,1,643,20,25.8,7561,7,1,30000,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,3,0,0,1,0,0,0,60,2,1087,8696,3,2,2,1,2,3,2,2,2.33,3,21.74,0,0,0,0,0,1,1,4,0,0,2,0,0,0,0,2,1,2,2,0,0,1,3,2,1,0.78,2,2,3.01,0,3.6,3.4,4.4,14.3,0,25.8,551
1,1,643,21,23.9,7004,2,2,21052,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,5,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,63,2,910,7280,2,2,1,1,2,3,2,2,2.33,3,18.2,0,0,0,0,0,1,1,4,0,0,2,0,1,1,1,2,1,2,2,0,0,1,3,2,1,0.78,2,2,3.01,0,4.9,2.7,3.7,12.6,0,23.9,798
