Target,Model,accuracy_min,accuracy_max,accuracy_mean,accuracy_std,f1_weighted_min,f1_weighted_max,f1_weighted_mean,f1_weighted_std,precision_weighted_min,precision_weighted_max,precision_weighted_mean,precision_weighted_std,recall_weighted_min,recall_weighted_max,recall_weighted_mean,recall_weighted_std
TEMPNITE,ADB,0.5500878734622144,0.6203866432337434,0.5826533453798362,0.026559003412334265,0.5263824485465087,0.6089016508049051,0.5700666754244228,0.028948446286224887,0.5338630174425587,0.6171309722333694,0.5727381586879188,0.02916728690709764,0.5500878734622144,0.6203866432337434,0.5826533453798362,0.026559003412334265
TEMPNITE,RFC,0.5651408450704225,0.6115992970123023,0.5819525235773163,0.012410202181572889,0.5115958191827601,0.5503195932648216,0.5248095345875983,0.01143696896173256,0.5097406314850812,0.6400126960988884,0.5763693177099376,0.04065209851012598,0.5651408450704225,0.6115992970123023,0.5819525235773163,0.012410202181572889
USEWWAC,LDA,0.8172231985940246,0.8347978910369068,0.8278221614396397,0.005656943816129286,0.8180220890977686,0.8403945515792829,0.8301651909013874,0.007106626771151579,0.8455503399998516,0.8726598018102759,0.8617929226769692,0.009951825781328862,0.8172231985940246,0.8347978910369068,0.8278221614396397,0.005656943816129286
USEWWAC,KNN,0.7147887323943662,0.7521968365553603,0.7351348424465952,0.008712248011896096,0.63851233996393,0.6767831728712606,0.6590386400645255,0.009826433629717288,0.5829818866469847,0.6542392708705824,0.618412550402392,0.01975202560432046,0.7147887323943662,0.7521968365553603,0.7351348424465952,0.008712248011896096
USEWWAC,CART,0.829225352112676,0.8681898066783831,0.8522633604792198,0.011763586599934534,0.8279427312264548,0.8648719952482004,0.8513432012610543,0.01140609903649117,0.8331643320762463,0.871369908220321,0.8540744455410609,0.012001179414937557,0.8345070422535211,0.8611599297012302,0.8508595509789846,0.008246659444984995
USEWWAC,SVM,0.7539543057996485,0.7557117750439367,0.7550125003094136,0.0007152716257410617,0.6481891727215414,0.6505626892270125,0.6496182126029595,0.0009659646327154517,0.5684470952338299,0.5711002869400575,0.5700443872369707,0.0010797354041424006,0.7539543057996485,0.7557117750439367,0.7550125003094136,0.0007152716257410617
USEWWAC,ADB,0.859402460456942,0.8644366197183099,0.8626463526324908,0.0019051443328377139,0.8182776801405975,0.8226210496811717,0.8209385561856305,0.001709767106489442,0.8002301146780291,0.8039695004559733,0.8025280101033301,0.0015000556004984922,0.859402460456942,0.8644366197183099,0.8626463526324908,0.0019051443328377139
USEWWAC,RFC,0.8626760563380281,0.8875219683655536,0.8753066288769524,0.007376187424227337,0.8491708420457384,0.8693914148018083,0.8574791448635967,0.0065340926592257365,0.8418470808628981,0.8606672342417682,0.850557515347848,0.006663940733020524,0.8626760563380281,0.8875219683655536,0.8753066288769524,0.007376187424227337
TEMPHOMEAC,LDA,0.5940246045694201,0.6397188049209139,0.62223012945865,0.015278589937288018,0.5641581808266134,0.6061349499174998,0.5877988931282829,0.014918553349182422,0.5614234800972281,0.7045566219352243,0.6469063116393967,0.0466199124872643,0.5940246045694201,0.6397188049209139,0.62223012945865,0.015278589937288018
TEMPHOMEAC,KNN,0.29173989455184535,0.3626760563380282,0.31745773410232925,0.02313624852037879,0.277596857541032,0.34825086921686044,0.30302890925513615,0.022703029298895356,0.27776443113569727,0.34868060114188193,0.3012668742718517,0.023037330712387064,0.29173989455184535,0.3626760563380282,0.31745773410232925,0.02313624852037879
TEMPHOMEAC,CART,0.6309314586994728,0.6748681898066784,0.6600392336443972,0.014266571753186517,0.6374823852381111,0.6808636033365306,0.6653867495483032,0.01185159491424864,0.6212653840255564,0.6799728577215184,0.6567000820732674,0.015555364578833802,0.6379613356766256,0.6906854130052724,0.6632063912473082,0.016012714587194252
TEMPHOMEAC,SVM,0.29525483304042177,0.2975352112676056,0.2968699720290106,0.0008407468400140033,0.13460735943226826,0.13645441168039446,0.1359152464080597,0.0006809280139285216,0.08717541643372734,0.08852720194405872,0.08813248714775454,0.000498324325171213,0.29525483304042177,0.2975352112676056,0.2968699720290106,0.0008407468400140033
TEMPHOMEAC,ADB,0.40421792618629176,0.6221441124780316,0.5626163395133543,0.059589341937119567,0.3659888036573689,0.6047947043626121,0.5377102841152069,0.06399924478888212,0.3817530187881554,0.6234979608835286,0.5409504873424558,0.06431627383580459,0.40421792618629176,0.6221441124780316,0.5626163395133543,0.059589341937119567
TEMPHOMEAC,RFC,0.6414762741652021,0.6942003514938488,0.6665480581202505,0.013400450153465863,0.6147120487160971,0.6668928808039319,0.6384431762252697,0.01334995713944232,0.629808843679056,0.6790376529459202,0.6574722567698505,0.014998280455739208,0.6414762741652021,0.6942003514938488,0.6665480581202505,0.013400450153465863
